,event_team,top_1,top_2,top_3
92,Novara,0.3333333333333333,0.17391304347826086,0.15384615384615385
93,Nurnberg,0.28125,0.25806451612903225,0.22727272727272727
94,Osasuna,0.5,0.3333333333333333,0.2
95,Palermo,1.0,0.625,0.25
96,Paris Saint-Germain,0.5,0.25,0.24489795918367346
97,Parma,0.375,0.3333333333333333,0.3333333333333333
98,QPR,0.14285714285714285,0.13953488372093023,0.10714285714285714
99,RB Leipzig,0.2702702702702703,0.25,0.2
100,Racing Santander,1.0,0.25,0.15384615384615385
101,Rayo Vallecano,0.5,0.3333333333333333,0.25
102,Real Betis,1.0,0.2,0.2
103,Real Madrid,0.5,0.5,0.32727272727272727
104,Real Sociedad,0.4,0.20930232558139536,0.2
105,Real Valladolid,0.5,0.3333333333333333,0.16176470588235295
106,Real Zaragoza,0.5,0.2,0.1625
107,SC Freiburg,0.6666666666666666,0.4,0.2
108,SC Paderborn,0.3333333333333333,0.16666666666666666,0.14285714285714285
109,SV Darmstadt 98,1.0,0.25,0.16279069767441862
110,Sampdoria,0.25,0.25,0.2
111,Sassuolo,0.5,0.35714285714285715,0.15555555555555556
112,Schalke 04,0.25,0.25,0.2
113,Sevilla,1.0,1.0,0.27586206896551724
114,Siena,1.0,1.0,0.25
115,Sochaux,0.3333333333333333,0.3333333333333333,0.25
116,Southampton,0.2,0.17647058823529413,0.15492957746478872
117,SpVgg Greuther Furth,0.3333333333333333,0.2,0.1111111111111111
118,Sporting Gijon,0.29411764705882354,0.2857142857142857,0.2222222222222222
119,St Etienne,0.5,0.25,0.2222222222222222
120,Stade Rennes,0.5,0.5,0.21568627450980393
121,Stade de Reims,0.3333333333333333,0.2727272727272727,0.16666666666666666
122,Stoke City,0.5,0.20833333333333334,0.1935483870967742
123,Sunderland,0.17647058823529413,0.17613636363636365,0.11956521739130435
124,Swansea,0.25,0.25,0.17857142857142858
125,TSG Hoffenheim,0.2702702702702703,0.25,0.25
126,TSV Eintracht Braunschweig,0.4,0.16363636363636364,0.13333333333333333
127,Torino,0.2857142857142857,0.25,0.25
128,Tottenham,0.5,0.20634920634920634,0.2
129,Toulouse,1.0,0.5,0.5
130,Troyes,0.2857142857142857,0.2727272727272727,0.14285714285714285
131,US Pescara,1.0,0.5,0.3333333333333333
132,Udinese,0.3333333333333333,0.26666666666666666,0.18238993710691823
133,Valencia,1.0,0.5,0.4
134,Valenciennes,0.25,0.25,0.14705882352941177
135,VfB Stuttgart,1.0,1.0,0.18452380952380953
136,VfL Wolfsburg,0.42857142857142855,0.4,0.3333333333333333
137,Villarreal,0.5,0.25,0.2413793103448276
138,Watford,0.2857142857142857,0.2857142857142857,0.2222222222222222
139,Werder Bremen,0.5,0.3333333333333333,0.3333333333333333
140,West Brom,0.3333333333333333,0.2727272727272727,0.2
141,West Ham,0.20588235294117646,0.2,0.16666666666666666
